onset	duration	event_type	stim_id
20	1.5	1	mallard
26	1.5	1	warbler
38	1.5	1	ladybug
44	1.5	1	monkey
50	1.5	1	lemur
56	1.5	1	luna
62	1.5	0	yes
68	1.5	1	luna
74	1.5	1	monkey
80	1.5	1	warbler
86	1.5	1	mallard
98	1.5	1	ladybug
104	1.5	1	lemur
110	1.5	0	yes
116	1.5	1	lemur
122	1.5	1	warbler
128	1.5	1	monkey
140	1.5	1	mallard
146	1.5	1	luna
152	1.5	1	ladybug
158	1.5	0	yes
164	1.5	1	ladybug
176	1.5	1	luna
182	1.5	1	warbler
188	1.5	1	lemur
194	1.5	1	mallard
200	1.5	1	monkey
206	1.5	0	nos
212	1.5	1	monkey
218	1.5	1	luna
230	1.5	1	mallard
236	1.5	1	lemur
242	1.5	1	ladybug
248	1.5	1	warbler
254	1.5	0	nos
260	1.5	1	warbler
266	1.5	1	luna
272	1.5	1	lemur
284	1.5	1	monkey
290	1.5	1	ladybug
296	1.5	1	mallard
302	1.5	0	nos
